production_id,device_id,manufacturer_id,date_id,units_produced,units_passed_qc,defect_rate,production_status,batch_number
PRD000056,DEV0049,MFG005,20200311,416,119,0.1303,Failed QC,BATCH1067
PRD000057,DEV0041,MFG006,20210413,316,25,0.0795,Failed QC,BATCH4623
PRD000058,DEV0017,MFG004,20201125,214,139,0.0551,In Progress,BATCH3029
PRD000059,DEV0010,MFG001,20210415,238,221,0.075,Failed QC,BATCH4353
PRD000060,DEV0024,MFG007,20210318,176,55,0.0547,On Hold,BATCH6644
PRD000061,DEV0047,MFG009,20200229,236,213,0.0475,Completed,BATCH2116
PRD000062,DEV0043,MFG005,20200713,421,99,0.0631,In Progress,BATCH4770
PRD000063,DEV0026,MFG007,20210731,334,149,0.0255,Failed QC,BATCH5325
PRD000064,DEV0002,MFG006,20200519,440,295,0.0991,Completed,BATCH6664
PRD000065,DEV0044,MFG010,20210922,456,272,0.0177,Failed QC,BATCH7390
PRD000066,DEV0044,MFG004,20200607,101,93,0.0306,On Hold,BATCH6262
PRD000067,DEV0004,MFG001,20200921,345,69,0.091,Completed,BATCH7710
PRD000068,DEV0041,MFG010,20190829,262,183,0.0605,In Progress,BATCH1603
PRD000069,DEV0001,MFG010,20201216,35,26,0.0425,In Progress,BATCH4031
PRD000070,DEV0006,MFG004,20210325,435,358,0.1142,Completed,BATCH2786
PRD000071,DEV0035,MFG004,20210814,442,298,0.0005,Failed QC,BATCH5810
PRD000072,DEV0009,MFG004,20210217,308,257,0.0346,Completed,BATCH1430
PRD000073,DEV0031,MFG005,20200203,105,15,0.0078,Completed,BATCH3920
PRD000074,DEV0013,MFG007,20200915,222,134,0.0147,In Progress,BATCH4635
PRD000075,DEV0049,MFG006,20200318,206,172,0.1088,Completed,BATCH8147
PRD000076,DEV0009,MFG002,20210404,67,11,0.0792,In Progress,BATCH9839
PRD000077,DEV0016,MFG005,20191227,123,33,0.1453,In Progress,BATCH9692
PRD000078,DEV0041,MFG009,20200718,181,62,0.0552,Failed QC,BATCH7935
PRD000079,DEV0006,MFG005,20211021,272,146,0.0884,Failed QC,BATCH8710
PRD000080,DEV0009,MFG010,20190903,190,62,0.0901,On Hold,BATCH2720
PRD000081,DEV0003,MFG008,20200111,111,79,0.0074,Completed,BATCH8103
PRD000082,DEV0006,MFG003,20201110,380,257,0.0255,On Hold,BATCH7956
PRD000083,DEV0037,MFG009,20200714,268,80,0.0785,Completed,BATCH7048
PRD000084,DEV0005,MFG002,20190805,64,4,0.0565,Failed QC,BATCH7978
PRD000085,DEV0022,MFG001,20210427,486,265,0.1032,Completed,BATCH8760
PRD000086,DEV0012,MFG005,20210509,431,250,0.0802,On Hold,BATCH4047
PRD000087,DEV0026,MFG007,20191228,377,256,0.0383,Completed,BATCH1333
PRD000088,DEV0011,MFG008,20201101,416,12,0.0536,In Progress,BATCH5476
PRD000089,DEV0039,MFG001,20200203,69,64,0.1071,Completed,BATCH1560
PRD000090,DEV0044,MFG007,20200504,495,282,0.1289,Failed QC,BATCH2461
PRD000091,DEV0035,MFG008,20190807,388,361,0.0623,Completed,BATCH1147
PRD000092,DEV0039,MFG010,20200621,87,26,0.0841,In Progress,BATCH6730
PRD000093,DEV0029,MFG005,20210709,19,19,0.0584,On Hold,BATCH5622
PRD000094,DEV0031,MFG006,20190915,203,110,0.147,On Hold,BATCH1428
PRD000095,DEV0046,MFG009,20200807,290,42,0.0639,In Progress,BATCH8250
PRD000096,DEV0047,MFG009,20200515,271,159,0.0276,On Hold,BATCH4311
PRD000097,DEV0025,MFG004,20200127,273,270,0.0835,On Hold,BATCH5132
PRD000098,DEV0027,MFG002,20200603,35,2,0.1034,Completed,BATCH1535
PRD000099,DEV0006,MFG002,20210224,289,12,0.0,On Hold,BATCH1582
PRD000100,DEV0041,MFG008,20200910,458,156,0.0892,Failed QC,BATCH2671
PRD000101,DEV0017,MFG006,20210121,429,289,0.0092,Completed,BATCH3448
PRD000102,DEV0027,MFG005,20210710,193,164,0.0351,Completed,BATCH9288
PRD000103,DEV0001,MFG005,20210416,3,2,0.1497,Completed,BATCH9388
PRD000104,DEV0001,MFG009,20210921,436,121,0.0612,Failed QC,BATCH9324
PRD000105,DEV0018,MFG006,20190814,121,13,0.1164,On Hold,BATCH7269
PRD000106,DEV0041,MFG007,20200129,340,202,0.1262,On Hold,BATCH1011
PRD000107,DEV0026,MFG004,20210709,424,231,0.0832,Failed QC,BATCH6574
PRD000108,DEV0010,MFG010,20200124,96,27,0.0672,On Hold,BATCH5037
PRD000109,DEV0009,MFG006,20200323,101,78,0.1452,On Hold,BATCH5957
PRD000110,DEV0018,MFG007,20200401,481,352,0.1188,On Hold,BATCH4231
PRD000111,DEV0024,MFG001,20190911,102,19,0.1229,Failed QC,BATCH4861
PRD000112,DEV0026,MFG004,20210813,120,47,0.1029,Failed QC,BATCH8589
PRD000113,DEV0013,MFG008,20210306,148,111,0.0382,Completed,BATCH5893
PRD000114,DEV0028,MFG008,20210502,377,327,0.1169,On Hold,BATCH1533
PRD000115,DEV0026,MFG001,20190831,205,76,0.0439,In Progress,BATCH5164
PRD000116,DEV0021,MFG001,20200824,359,39,0.1371,Failed QC,BATCH7653
PRD000117,DEV0006,MFG008,20191231,319,41,0.0751,Failed QC,BATCH8354
PRD000118,DEV0028,MFG009,20210605,132,27,0.1336,Failed QC,BATCH5638
PRD000119,DEV0013,MFG008,20191124,391,212,0.032,Completed,BATCH5534
PRD000120,DEV0018,MFG002,20210425,153,46,0.1449,Failed QC,BATCH1271
PRD000121,DEV0011,MFG002,20201008,291,168,0.1077,On Hold,BATCH5251
PRD000122,DEV0036,MFG001,20210714,197,97,0.1321,On Hold,BATCH9177
PRD000123,DEV0030,MFG007,20201114,150,70,0.0346,Completed,BATCH8229
PRD000124,DEV0020,MFG007,20191106,468,378,0.1066,In Progress,BATCH4616
PRD000125,DEV0041,MFG004,20210326,288,130,0.046,Failed QC,BATCH8963
PRD000126,DEV0027,MFG008,20200725,351,257,0.0312,On Hold,BATCH8902
PRD000127,DEV0012,MFG002,20200302,3,1,0.1016,On Hold,BATCH5776
PRD000128,DEV0015,MFG007,20200314,221,152,0.1046,Completed,BATCH3293
PRD000129,DEV0015,MFG007,20201222,15,9,0.0898,In Progress,BATCH6060
PRD000130,DEV0021,MFG001,20200313,401,25,0.1211,Completed,BATCH6675
PRD000131,DEV0032,MFG010,20210410,164,148,0.0836,Completed,BATCH6249
PRD000132,DEV0042,MFG009,20210922,120,106,0.1088,Completed,BATCH9977
PRD000133,DEV0007,MFG010,20210602,323,69,0.0148,On Hold,BATCH1320
PRD000134,DEV0018,MFG010,20200602,144,133,0.1032,On Hold,BATCH5430
PRD000135,DEV0008,MFG006,20211003,144,120,0.0008,On Hold,BATCH8477
PRD000136,DEV0002,MFG007,20210817,239,196,0.0224,Completed,BATCH8512
PRD000137,DEV0002,MFG004,20200324,336,296,0.0512,On Hold,BATCH4880
PRD000138,DEV0004,MFG003,20200613,87,9,0.0705,Completed,BATCH9411
PRD000139,DEV0046,MFG010,20190822,129,105,0.0985,In Progress,BATCH1745
PRD000140,DEV0013,MFG005,20190909,86,43,0.0908,On Hold,BATCH7769
PRD000141,DEV0017,MFG003,20211106,320,242,0.0622,Failed QC,BATCH9620
PRD000142,DEV0006,MFG009,20210401,52,33,0.0747,Failed QC,BATCH8234
PRD000143,DEV0017,MFG001,20200422,464,338,0.0515,On Hold,BATCH9683
PRD000144,DEV0005,MFG005,20200212,163,41,0.0274,On Hold,BATCH8668
PRD000145,DEV0019,MFG008,20200725,60,23,0.1055,Failed QC,BATCH2840
PRD000146,DEV0014,MFG005,20211022,271,220,0.1132,In Progress,BATCH1827
PRD000147,DEV0049,MFG009,20210617,174,107,0.0751,On Hold,BATCH1323
PRD000148,DEV0043,MFG009,20201202,281,235,0.0755,On Hold,BATCH3485
PRD000149,DEV0028,MFG001,20200331,444,160,0.0797,Failed QC,BATCH3623
PRD000150,DEV0013,MFG009,20200427,493,197,0.0158,Failed QC,BATCH8810
PRD000151,DEV0050,MFG004,20200322,38,8,0.1146,Completed,BATCH6413
PRD000152,DEV0029,MFG008,20210708,101,95,0.069,On Hold,BATCH8418
PRD000153,DEV0020,MFG002,20191118,225,106,0.114,On Hold,BATCH1590
PRD000154,DEV0046,MFG008,20200106,461,70,0.0372,In Progress,BATCH3867
PRD000155,DEV0034,MFG009,20211114,458,71,0.027,Completed,BATCH9318
PRD000156,DEV0003,MFG009,20210324,379,182,0.1425,Failed QC,BATCH7271
PRD000157,DEV0048,MFG010,20200125,344,118,0.0335,Failed QC,BATCH5566
PRD000158,DEV0048,MFG003,20200809,70,51,0.1038,On Hold,BATCH5272
PRD000159,DEV0003,MFG004,20200426,81,8,0.142,On Hold,BATCH2829
PRD000160,DEV0043,MFG007,20200814,194,68,0.149,In Progress,BATCH5557
PRD000161,DEV0041,MFG005,20210219,305,53,0.0769,On Hold,BATCH2717
PRD000162,DEV0024,MFG002,20210630,112,14,0.1443,Completed,BATCH2821
PRD000163,DEV0018,MFG004,20210301,275,127,0.0558,Failed QC,BATCH1669
PRD000164,DEV0041,MFG005,20201118,226,3,0.1195,On Hold,BATCH9403
PRD000165,DEV0030,MFG003,20200610,88,3,0.1281,Completed,BATCH7905
PRD000166,DEV0046,MFG002,20210607,261,207,0.117,On Hold,BATCH7569
PRD000167,DEV0027,MFG008,20210226,435,226,0.0203,Completed,BATCH4166
PRD000168,DEV0027,MFG001,20200124,378,337,0.0776,In Progress,BATCH8543
PRD000169,DEV0042,MFG010,20200308,213,10,0.121,Failed QC,BATCH7149
PRD000170,DEV0042,MFG007,20210131,479,97,0.052,Failed QC,BATCH4814
PRD000171,DEV0034,MFG009,20200416,280,138,0.1036,Failed QC,BATCH3807
PRD000172,DEV0008,MFG001,20200826,341,287,0.0518,On Hold,BATCH3611
PRD000173,DEV0038,MFG007,20210506,145,138,0.1483,In Progress,BATCH5164
PRD000174,DEV0011,MFG001,20190902,169,2,0.0429,On Hold,BATCH3763
PRD000175,DEV0045,MFG004,20210419,380,313,0.0795,On Hold,BATCH9232
PRD000176,DEV0019,MFG010,20210925,129,2,0.0839,On Hold,BATCH1969
PRD000177,DEV0046,MFG007,20210315,136,101,0.0811,Failed QC,BATCH7401
PRD000178,DEV0024,MFG001,20211110,27,6,0.0496,Failed QC,BATCH5109
PRD000179,DEV0005,MFG003,20200811,238,224,0.0126,Completed,BATCH8170
PRD000180,DEV0002,MFG010,20190809,20,4,0.0127,Completed,BATCH6250
PRD000181,DEV0050,MFG006,20191030,495,108,0.1275,Completed,BATCH5744
PRD000182,DEV0021,MFG001,20191111,374,360,0.1302,On Hold,BATCH7757
PRD000183,DEV0007,MFG009,20210905,375,372,0.1137,In Progress,BATCH2923
PRD000184,DEV0038,MFG009,20210415,359,212,0.0156,On Hold,BATCH5777
PRD000185,DEV0048,MFG002,20200417,396,303,0.0989,Completed,BATCH1242
PRD000186,DEV0023,MFG005,20210903,36,25,0.0153,In Progress,BATCH3237
PRD000187,DEV0019,MFG003,20200111,389,51,0.0156,Completed,BATCH2160
PRD000188,DEV0014,MFG005,20210401,309,26,0.1428,Failed QC,BATCH5420
PRD000189,DEV0034,MFG008,20200412,134,9,0.0254,Failed QC,BATCH9722
PRD000190,DEV0023,MFG003,20191211,295,29,0.1294,In Progress,BATCH9956
PRD000191,DEV0034,MFG001,20191120,374,241,0.1128,On Hold,BATCH4473
PRD000192,DEV0046,MFG003,20210715,156,36,0.1169,Failed QC,BATCH6617
PRD000193,DEV0001,MFG002,20191021,265,107,0.0436,On Hold,BATCH5106
PRD000194,DEV0031,MFG001,20211012,168,4,0.0004,On Hold,BATCH8692
PRD000195,DEV0028,MFG009,20200421,170,66,0.1185,Completed,BATCH9068
PRD000196,DEV0046,MFG003,20210602,17,2,0.0545,Completed,BATCH8347
PRD000197,DEV0001,MFG007,20200511,364,61,0.0527,In Progress,BATCH9849
PRD000198,DEV0030,MFG003,20200902,260,150,0.0715,Failed QC,BATCH1255
PRD000199,DEV0040,MFG006,20210615,282,209,0.0256,In Progress,BATCH4935
PRD000200,DEV0022,MFG006,20210826,185,141,0.0292,In Progress,BATCH6791
PRD000201,DEV0026,MFG004,20210313,89,40,0.047,In Progress,BATCH1532
PRD000202,DEV0019,MFG008,20200410,300,226,0.1149,Completed,BATCH8379
PRD000203,DEV0016,MFG010,20210331,131,38,0.0679,Completed,BATCH2914
PRD000204,DEV0007,MFG001,20191005,119,76,0.0909,Failed QC,BATCH5431
PRD000205,DEV0004,MFG003,20200707,395,85,0.0456,In Progress,BATCH6429
PRD000206,DEV0004,MFG003,20210227,223,78,0.0174,Failed QC,BATCH7390
PRD000207,DEV0004,MFG008,20190822,199,70,0.1095,Completed,BATCH7742
PRD000208,DEV0014,MFG010,20211004,421,371,0.1137,Completed,BATCH7521
PRD000209,DEV0016,MFG010,20200622,289,279,0.1017,Failed QC,BATCH5459
PRD000210,DEV0006,MFG001,20210607,426,22,0.0299,Completed,BATCH6572
PRD000211,DEV0017,MFG004,20200819,437,82,0.0735,Completed,BATCH1999
PRD000212,DEV0032,MFG005,20200921,263,118,0.0513,Completed,BATCH1463
PRD000213,DEV0021,MFG004,20210720,332,38,0.0889,Failed QC,BATCH4092
PRD000214,DEV0011,MFG007,20210221,255,4,0.1255,Completed,BATCH6010
PRD000215,DEV0017,MFG005,20200501,352,136,0.0767,On Hold,BATCH6097
PRD000216,DEV0024,MFG001,20200814,331,104,0.0027,Completed,BATCH3653
PRD000217,DEV0030,MFG005,20191223,134,134,0.0321,Failed QC,BATCH8341
PRD000218,DEV0006,MFG005,20210222,402,72,0.1313,In Progress,BATCH1638
PRD000219,DEV0048,MFG005,20200315,430,379,0.0521,Completed,BATCH3751
PRD000220,DEV0041,MFG010,20191026,480,431,0.0999,Completed,BATCH3981
PRD000221,DEV0017,MFG008,20190801,375,159,0.0979,On Hold,BATCH1448
PRD000222,DEV0028,MFG001,20191206,266,5,0.0276,On Hold,BATCH3993
PRD000223,DEV0006,MFG001,20201120,388,108,0.0789,In Progress,BATCH4219
PRD000224,DEV0027,MFG007,20200618,213,173,0.0116,Completed,BATCH4898
PRD000225,DEV0015,MFG009,20210326,138,73,0.0048,Completed,BATCH5780
PRD000226,DEV0003,MFG003,20200727,268,17,0.0941,Failed QC,BATCH6949
PRD000227,DEV0036,MFG001,20201007,329,315,0.1364,On Hold,BATCH3807
PRD000228,DEV0026,MFG002,20190912,467,393,0.0029,In Progress,BATCH6258
PRD000229,DEV0040,MFG009,20190829,410,405,0.1309,On Hold,BATCH2295
PRD000230,DEV0007,MFG007,20201030,204,135,0.1434,In Progress,BATCH7265
PRD000231,DEV0033,MFG008,20201103,48,23,0.0763,On Hold,BATCH5080
PRD000232,DEV0023,MFG005,20200510,18,8,0.1217,Failed QC,BATCH5780
PRD000233,DEV0048,MFG004,20210120,490,278,0.1385,In Progress,BATCH9415
PRD000234,DEV0047,MFG008,20200418,284,133,0.0576,Failed QC,BATCH8762
PRD000235,DEV0009,MFG004,20200109,376,332,0.0958,In Progress,BATCH7056
PRD000236,DEV0001,MFG008,20211108,181,100,0.0829,Failed QC,BATCH6965
PRD000237,DEV0033,MFG006,20210730,136,62,0.0366,Failed QC,BATCH2824
PRD000238,DEV0024,MFG008,20200424,114,103,0.1167,On Hold,BATCH6164
PRD000239,DEV0017,MFG001,20201208,205,191,0.1479,Failed QC,BATCH2563
PRD000240,DEV0010,MFG004,20210602,482,180,0.1085,Failed QC,BATCH2744
PRD000241,DEV0010,MFG006,20201210,375,228,0.0134,Completed,BATCH9331
PRD000242,DEV0029,MFG010,20200109,400,86,0.013,Failed QC,BATCH5781
PRD000243,DEV0008,MFG010,20200107,367,28,0.0742,On Hold,BATCH3115
PRD000244,DEV0001,MFG001,20200617,52,6,0.1069,Completed,BATCH2696
PRD000245,DEV0017,MFG005,20210311,428,230,0.1477,In Progress,BATCH8200
PRD000246,DEV0012,MFG007,20210620,141,40,0.1486,In Progress,BATCH1668
PRD000247,DEV0039,MFG009,20210527,25,15,0.033,In Progress,BATCH8019
PRD000248,DEV0002,MFG002,20210907,101,46,0.1156,On Hold,BATCH6508
PRD000249,DEV0017,MFG006,20210123,5,4,0.0026,On Hold,BATCH2902
PRD000250,DEV0025,MFG007,20210429,65,62,0.1293,In Progress,BATCH9406
PRD000251,DEV0019,MFG003,20210902,303,162,0.1269,Completed,BATCH6247
PRD000252,DEV0047,MFG003,20211015,440,71,0.0437,Completed,BATCH5234
PRD000253,DEV0028,MFG006,20191125,256,115,0.014,In Progress,BATCH9658
PRD000254,DEV0007,MFG007,20210628,110,104,0.1448,Failed QC,BATCH2214
PRD000255,DEV0038,MFG007,20210511,357,108,0.1451,Completed,BATCH3409
PRD000256,DEV0029,MFG010,20191108,256,225,0.0203,Completed,BATCH9574
PRD000257,DEV0013,MFG008,20200430,36,34,0.0788,Failed QC,BATCH5861
PRD000258,DEV0048,MFG006,20200529,62,32,0.115,Failed QC,BATCH3351
PRD000259,DEV0022,MFG006,20191115,26,3,0.0696,Failed QC,BATCH8156
PRD000260,DEV0044,MFG004,20190913,491,79,0.1411,In Progress,BATCH6206
PRD000261,DEV0020,MFG001,20200823,40,35,0.0144,In Progress,BATCH8861
PRD000262,DEV0004,MFG003,20201109,162,126,0.0895,On Hold,BATCH1527
PRD000263,DEV0037,MFG006,20201202,397,395,0.0582,Failed QC,BATCH8800
PRD000264,DEV0049,MFG009,20190828,57,12,0.0953,Completed,BATCH6812
PRD000265,DEV0037,MFG009,20200115,447,116,0.128,Failed QC,BATCH2301
PRD000266,DEV0037,MFG010,20210802,218,69,0.0341,Completed,BATCH8985
PRD000267,DEV0043,MFG008,20211002,82,13,0.1191,Completed,BATCH6531
PRD000268,DEV0025,MFG001,20210128,283,208,0.0898,Failed QC,BATCH1907
PRD000269,DEV0027,MFG006,20210118,303,85,0.1288,In Progress,BATCH6416
PRD000270,DEV0011,MFG007,20200208,154,58,0.0609,Failed QC,BATCH6703
PRD000271,DEV0015,MFG006,20201022,137,43,0.1327,On Hold,BATCH3759
PRD000272,DEV0002,MFG010,20210228,135,104,0.0369,Failed QC,BATCH8107
PRD000273,DEV0003,MFG004,20190808,148,140,0.0646,In Progress,BATCH9858
PRD000274,DEV0041,MFG001,20191004,322,174,0.104,Failed QC,BATCH3271
PRD000275,DEV0035,MFG007,20210722,120,4,0.0865,Completed,BATCH3669
PRD000276,DEV0013,MFG005,20200123,252,8,0.0961,Failed QC,BATCH5431
PRD000277,DEV0020,MFG006,20210506,63,31,0.1267,In Progress,BATCH6963
PRD000278,DEV0004,MFG008,20190831,11,3,0.1236,Failed QC,BATCH7614
PRD000279,DEV0033,MFG006,20210921,272,99,0.0749,In Progress,BATCH5833
PRD000280,DEV0005,MFG003,20210427,35,32,0.0715,In Progress,BATCH9873
PRD000281,DEV0037,MFG004,20210511,474,321,0.1399,Completed,BATCH6518
PRD000282,DEV0045,MFG004,20191016,198,62,0.1471,Failed QC,BATCH9264
PRD000283,DEV0032,MFG007,20210524,349,183,0.1217,Completed,BATCH9849
PRD000284,DEV0022,MFG006,20200814,321,21,0.1007,Completed,BATCH3098
PRD000285,DEV0029,MFG007,20200329,310,75,0.0659,Failed QC,BATCH8425
PRD000286,DEV0021,MFG002,20210412,126,2,0.1155,In Progress,BATCH4856
PRD000287,DEV0004,MFG005,20210814,147,10,0.1409,Completed,BATCH7633
PRD000288,DEV0012,MFG008,20200503,44,4,0.0436,Completed,BATCH1706
PRD000289,DEV0042,MFG007,20200403,179,41,0.0003,In Progress,BATCH2858
PRD000290,DEV0015,MFG004,20210321,229,135,0.0519,On Hold,BATCH8836
PRD000291,DEV0042,MFG008,20200915,225,42,0.0211,Completed,BATCH8852
PRD000292,DEV0033,MFG006,20210711,269,237,0.1145,Completed,BATCH6553
PRD000293,DEV0043,MFG004,20210802,441,158,0.1237,On Hold,BATCH9179
PRD000294,DEV0036,MFG004,20200622,236,205,0.0709,In Progress,BATCH3062
PRD000295,DEV0001,MFG001,20200910,345,86,0.06,On Hold,BATCH8904
PRD000296,DEV0031,MFG005,20210828,258,139,0.1346,Failed QC,BATCH3011
PRD000297,DEV0040,MFG004,20211129,82,33,0.0505,In Progress,BATCH2872
PRD000298,DEV0036,MFG003,20210923,126,21,0.0495,Failed QC,BATCH2190
PRD000299,DEV0036,MFG005,20201112,334,198,0.0203,In Progress,BATCH2353
PRD000300,DEV0015,MFG010,20200414,207,30,0.0976,On Hold,BATCH9002
PRD000301,DEV0030,MFG007,20210826,5,5,0.0607,Failed QC,BATCH4123
PRD000302,DEV0028,MFG010,20190903,395,14,0.1403,Completed,BATCH4303
PRD000303,DEV0046,MFG008,20201030,434,46,0.0251,Failed QC,BATCH1939
PRD000304,DEV0047,MFG009,20190806,485,49,0.0696,On Hold,BATCH7337
PRD000305,DEV0039,MFG001,20200531,418,30,0.0744,Failed QC,BATCH5762
PRD000306,DEV0034,MFG001,20201030,487,185,0.0067,On Hold,BATCH9956
PRD000307,DEV0006,MFG006,20201028,141,22,0.1057,Completed,BATCH5022
PRD000308,DEV0039,MFG009,20201218,453,214,0.1236,Failed QC,BATCH3998
PRD000309,DEV0049,MFG009,20200111,453,52,0.0849,On Hold,BATCH6762
PRD000310,DEV0001,MFG009,20200526,457,65,0.0481,Completed,BATCH4375
PRD000311,DEV0020,MFG005,20210816,322,197,0.1123,Failed QC,BATCH2852
PRD000312,DEV0034,MFG010,20200430,194,21,0.1096,Completed,BATCH1569
PRD000313,DEV0015,MFG008,20210715,256,92,0.0912,Completed,BATCH3953
PRD000314,DEV0034,MFG006,20211126,393,245,0.0822,On Hold,BATCH2910
PRD000315,DEV0044,MFG002,20200311,108,90,0.0318,Completed,BATCH7742
PRD000316,DEV0041,MFG010,20200916,493,79,0.0222,In Progress,BATCH7229
PRD000317,DEV0037,MFG001,20191109,404,195,0.0008,On Hold,BATCH8627
PRD000318,DEV0044,MFG006,20211013,260,253,0.0072,In Progress,BATCH7394
PRD000319,DEV0029,MFG009,20210520,92,58,0.104,In Progress,BATCH1035
PRD000320,DEV0003,MFG007,20200917,385,269,0.1299,On Hold,BATCH9074
PRD000321,DEV0017,MFG005,20201108,397,309,0.0508,On Hold,BATCH4046
PRD000322,DEV0022,MFG009,20200608,197,25,0.0392,Failed QC,BATCH6192
PRD000323,DEV0037,MFG008,20200405,272,17,0.1261,Completed,BATCH8726
PRD000324,DEV0046,MFG010,20211020,325,13,0.1243,On Hold,BATCH6858
PRD000325,DEV0044,MFG007,20200825,144,18,0.1042,On Hold,BATCH3732
PRD000326,DEV0014,MFG001,20201221,335,175,0.1386,On Hold,BATCH9827
PRD000327,DEV0031,MFG001,20200502,243,166,0.0609,Failed QC,BATCH1401
PRD000328,DEV0049,MFG003,20190926,116,72,0.1192,Completed,BATCH6871
PRD000329,DEV0047,MFG007,20200805,247,92,0.0868,In Progress,BATCH4361
PRD000330,DEV0023,MFG009,20200222,470,466,0.0189,Failed QC,BATCH9980
PRD000331,DEV0035,MFG003,20201014,264,48,0.0956,In Progress,BATCH6777
